Pressure Regulator KPF FC=1.0 PCP = 0-1000
Set Pressure, Inlet Pressure, Flow Rate, Outlet Pressure 
Input,Input,Input,Output
psi,psi,ft^3/min,psi
1000, 3600, 0, 998.6013932848123
1000, 3600, 0.04835700726884097, 973.4265924543555
1000, 3600, 0.09671216990647187, 950.3495816537607
1000, 3600, 0.2417795024505721, 925.1748608519166
1000, 3600, 0.628628182076463, 904.195840152716
1000, 3600, 1.1605423496152414, 893.7063298031155
1000, 3600, 1.7408135244228617, 885.3146895119901
1000, 3600, 2.27272769196164, 881.1188693664275
1000, 3600, 2.8529988667692607, 879.0209993079526
1000, 3600, 3.48162520421451, 876.9230492208646
1000, 3600, 4.11025154165976, 874.8251791623899
1000, 3600, 4.642167553829751, 874.8251791623899
1000, 3600, 5.222438728637371, 874.8251791623899
1000, 3600, 5.754352896176149, 872.727309103915
1000, 3600, 6.33462407098377, 872.727309103915
1000, 3600, 6.91489524579139, 872.727309103915
1000, 3600, 7.446809413330168, 870.6293590168272
1000, 3600, 8.075435750775418, 868.5314889583523
1000, 3600, 8.65570877021425, 870.6293590168272 
1000, 3600, 9.235978100390659, 870.6293590168272
1000, 3600, 9.816247430567065, 870.6293590168272
1000, 3600, 10.541585937918788, 868.5314889583523
1000, 3600, 11.170214119995252, 866.4335388712644
1000, 3600, 11.798842302071716, 868.5314889583523
1000, 3600, 12.427466794885751, 866.4335388712644
1000, 3600, 13.152805302237477, 866.4335388712644
1000, 3600, 13.829788646951569, 866.4335388712644
1000, 3600, 14.410057977127975, 866.4335388712644
1000, 3600, 15.087041321842067, 864.3356688127895
1000, 3600, 15.71566950391853, 866.4335388712644
1000, 3600, 16.392652848632626, 866.4335388712644
1000, 3600, 16.97292217880903, 866.4335388712644
1000, 3600, 17.553191508985442, 864.3356688127895
1000, 3600, 18.27853001633716, 862.2377987543148
1000, 3600, 19.05222737558894, 862.2377987543148
1000, 3600, 19.632496705765348, 862.2377987543148
1000, 3600, 20.647969878205274, 862.2377987543148
1000, 3600, 21.47002240009468, 860.1398486672268
1000, 3600, 22.243716070084034, 864.3356688127895
1000, 3600, 21.13152888310642, 862.2377987543148
1000, 3600, 20.116055710666494, 862.2377987543148
1000, 3600, 22.920699414798126, 862.2377987543148
1000, 3600, 23.694393084787478, 862.2377987543148
1000, 3600, 24.274662414963885, 862.2377987543148
1000, 3600, 25.145070099490923, 864.3356688127895
1000, 3600, 25.87040860684264, 862.2377987543148
1000, 3600, 26.692457439469628, 862.2377987543148
1000, 3600, 27.51450996135904, 862.2377987543148
1000, 3600, 28.288203631348384, 864.3356688127895
1000, 3600, 28.91682812416242, 862.2377987543148
1000, 3600, 29.593811468876517, 862.2377987543148
1000, 3600, 30.319149976228235, 860.1398486672268
1000, 3600, 31.04448848357996, 860.1398486672268
1000, 3600, 31.769826990931687, 860.1398486672268
1000, 3600, 32.64023467545872, 860.1398486672268
1000, 3600, 33.31721802017282, 858.041978608752
1000, 3600, 34.04255652752454, 860.1398486672268
1000, 3600, 34.864605360151515, 858.041978608752
1000, 3600, 35.589943867503244, 858.041978608752
1000, 3600, 36.508706714667916, 858.041978608752
1000, 3600, 37.427469561832574, 858.041978608752
1000, 3600, 38.34622871973482, 858.041978608752
1000, 3600, 39.21663640426185, 858.041978608752
1000, 3600, 40.183758103326575, 858.041978608752
1000, 3600, 41.054158409328764, 855.9440285216641
1000, 3600, 42.06963527103111, 860.1398486672268
1000, 3600, 42.79497377838284, 855.9440285216641
1000, 3600, 41.586076266129965, 855.9440285216641
1000, 3600, 43.617022611009816, 853.8461584631893
1000, 3600, 44.53578914743691, 853.8461584631893
1000, 3600, 45.406189453439104, 853.8461584631893
1000, 3600, 46.276597137966135, 853.8461584631893
1000, 3600, 47.050294497217905, 853.8461584631893
1000, 3600, 47.82398447794484, 853.8461584631893
1000, 3600, 48.4042611866461, 853.8461584631893
1000, 3600, 48.936171664922455, 853.8461584631893
1000, 3600, 49.516440995098854, 853.8461584631893
1000, 3600, 49.903289674724746, 853.8461584631893
1000, 3600, 37.91102856673372, 858.041978608752
1000, 3600, 36.99226571956906, 858.041978608752
1000, 3600, 36.02514770976676, 858.041978608752
1000, 6000, 0, 998.6013932848123
1000, 6000, 0.04835700726884097, 973.4265924543555
1000, 6000, 0.09671216990647187, 950.3495816537607
1000, 6000, 0.2417795024505721, 925.1748608519166
1000, 6000, 0.628628182076463, 904.195840152716
1000, 6000, 1.1605423496152414, 893.7063298031155
1000, 6000, 1.7408135244228617, 885.3146895119901
1000, 6000, 2.27272769196164, 881.1188693664275
1000, 6000, 2.8529988667692607, 879.0209993079526
1000, 6000, 3.48162520421451, 876.9230492208646
1000, 6000, 4.11025154165976, 874.8251791623899
1000, 6000, 4.642167553829751, 874.8251791623899
1000, 6000, 5.222438728637371, 874.8251791623899
1000, 6000, 5.754352896176149, 872.727309103915
1000, 6000, 6.33462407098377, 872.727309103915
1000, 6000, 6.91489524579139, 872.727309103915
1000, 6000, 7.446809413330168, 870.6293590168272
1000, 6000, 8.075435750775418, 868.5314889583523
1000, 6000, 8.65570877021425, 870.6293590168272 
1000, 6000, 9.235978100390659, 870.6293590168272
1000, 6000, 9.816247430567065, 870.6293590168272
1000, 6000, 10.541585937918788, 868.5314889583523
1000, 6000, 11.170214119995252, 866.4335388712644
1000, 6000, 11.798842302071716, 868.5314889583523
1000, 6000, 12.427466794885751, 866.4335388712644
1000, 6000, 13.152805302237477, 866.4335388712644
1000, 6000, 13.829788646951569, 866.4335388712644
1000, 6000, 14.410057977127975, 866.4335388712644
