Time,Object,Rho,Pressure,Velocity,Temperature,Mass Flow Rate,Mass,Dynamic Pressure
0.5,INTER3,23.692053982839873 kg/m^3,2100106.513129036 kg/ms^2,106.91630142278902 m/s,299.52792898417135 K,0.0802202428118622 kg/s,N/A,135413.06595211435 kg/ms^2
0.5,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.5,INTER4,9.276457659734207 kg/m^3,816754.5135019415 kg/ms^2,268.1718250375228 m/s,297.1038608692715 K,0.07878302391074671 kg/s,N/A,333563.45703442104 kg/ms^2
0.5,Pressure Outlet,9.129090125673672 kg/m^3,792897.4 kg/ms^2,N/A,N/A,N/A,N/A,N/A
0.6,Pressurant Tank,38.9764823401368 kg/m^3,3338677.54217937 kg/ms^2,100 m/s,290.40485798890217 K,N/A,3.8976482340136798 kg,N/A
0.6,INTER1,39.11885056320783 kg/m^3,3356436.211094711 kg/ms^2,112.34830054017256 m/s,290.8534439074135 K,0.1391841958645899 kg/s,N/A,246881.81662980167 kg/ms^2
0.6,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.6,INTER2,24.522975620989982 kg/m^3,2107681.5730381105 kg/ms^2,179.22183421010516 m/s,290.8765420153206 K,0.1391878787165908 kg/s,N/A,393844.70058080496 kg/ms^2
0.6,Chamber,24.24266751458046 kg/m^3,2115242.4046276305 kg/ms^2,N/A,295.06852219126245 K,N/A,2.4242667514580463 kg,N/A
0.6,INTER3,23.690634142679365 kg/m^3,2100065.860990506 kg/ms^2,106.89810664234585 m/s,299.539489334329 K,0.08020178441020565 kg/s,N/A,135358.86887730658 kg/ms^2
0.6,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.6,INTER4,9.284083549095442 kg/m^3,816817.5774349777 kg/ms^2,268.05167840216177 m/s,296.88724710275073 K,0.07881246352872086 kg/s,N/A,333538.6036221168 kg/ms^2
0.6,Pressure Outlet,9.129090125673672 kg/m^3,792897.4 kg/ms^2,N/A,N/A,N/A,N/A,N/A
0.7,Pressurant Tank,38.83729814427221 kg/m^3,3321265.649694324 kg/ms^2,100 m/s,289.95885278241917 K,N/A,3.883729814427221 kg,N/A
0.7,INTER1,38.84230630330772 kg/m^3,3321704.750946306 kg/ms^2,111.22399899252493 m/s,289.9598471417065 K,0.13681724670087256 kg/s,N/A,240254.77320874276 kg/ms^2
0.7,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.7,INTER2,24.77502603026127 kg/m^3,2122415.963165946 kg/ms^2,174.38480327251418 m/s,289.9869513283026 K,0.13682330829081552 kg/s,N/A,376705.00923942256 kg/ms^2
0.7,Chamber,24.30165360888684 kg/m^3,2122643.6381852212 kg/ms^2,N/A,295.3689555731056 K,N/A,2.4301653608886844 kg,N/A
0.7,INTER3,24.415155684154865 kg/m^3,2102168.0288909595 kg/ms^2,105.54461212035667 m/s,291.36703784729923 K,0.08160803072397314 kg/s,N/A,135988.32942445006 kg/ms^2
0.7,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.7,INTER4,10.238759761076887 kg/m^3,845052.6938930757 kg/ms^2,245.87304321639664 m/s,278.93572461994296 K,0.07972519708705661 kg/s,N/A,309484.7048831478 kg/ms^2
0.7,Pressure Outlet,9.129090125673672 kg/m^3,792897.4 kg/ms^2,N/A,N/A,N/A,N/A,N/A
0.7999999999999999,Pressurant Tank,38.70048089757134 kg/m^3,3304178.7995043634 kg/ms^2,100 m/s,289.51944503067386 K,N/A,3.870048089757134 kg,N/A
0.7999999999999999,INTER1,38.82834394007835 kg/m^3,3319149.8105177153 kg/ms^2,111.15719076254155 m/s,289.8497239829607 K,0.13668591436728347 kg/s,N/A,239879.97627251252 kg/ms^2
0.7999999999999999,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.7999999999999999,INTER2,24.78891231045977 kg/m^3,2123487.095766723 kg/ms^2,174.1170274899745 m/s,289.9721348225531 K,0.13668978092113682 kg/s,N/A,375759.49555170804 kg/ms^2
0.7999999999999999,Chamber,24.356868886453686 kg/m^3,2129579.017639188 kg/ms^2,N/A,295.6497770857846 K,N/A,2.435686888645369 kg,N/A
0.7999999999999999,INTER3,24.372650677323143 kg/m^3,2107159.9092553193 kg/ms^2,105.61362991462254 m/s,292.50770858608126 K,0.0815192293556698 kg/s,N/A,135929.18321126016 kg/ms^2
0.7999999999999999,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.7999999999999999,INTER4,9.880571060707922 kg/m^3,838565.8134230307 kg/ms^2,253.7251414140261 m/s,286.6288654533802 K,0.07939312217333762 kg/s,N/A,318038.0315145124 kg/ms^2
0.7999999999999999,Pressure Outlet,9.129090125673672 kg/m^3,792897.4 kg/ms^2,N/A,N/A,N/A,N/A,N/A
0.8999999999999999,Pressurant Tank,38.563794983204055 kg/m^3,3287137.0411441126 kg/ms^2,100 m/s,289.0794763220804 K,N/A,3.8563794983204054 kg,N/A
0.8999999999999999,INTER1,38.566336253555576 kg/m^3,3287366.9721251735 kg/ms^2,110.0740645538158 m/s,289.08062507644183 K,0.13444068567461398 kg/s,N/A,233640.64394651324 kg/ms^2
0.8999999999999999,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.8999999999999999,INTER2,25.02005535376145 kg/m^3,2136395.4870898775 kg/ms^2,169.67408486561558 m/s,289.096047886957 K,0.13444390355398111 kg/s,N/A,360154.87818593724 kg/ms^2
0.8999999999999999,Chamber,24.412039438019153 kg/m^3,2136515.8027757034 kg/ms^2,N/A,295.9299796803757 K,N/A,2.4412039438019155 kg,N/A
0.8999999999999999,INTER3,24.022476031763066 kg/m^3,2121501.6734431246 kg/ms^2,106.72958595263623 m/s,298.47691573360385 K,0.08119698910657833 kg/s,N/A,136822.4687487328 kg/ms^2
0.8999999999999999,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.8999999999999999,INTER4,9.503176438414513 kg/m^3,825044.1298493708 kg/ms^2,264.18984202087825 m/s,293.0492061557958 K,0.07951008901819824 kg/s,N/A,331643.14675911004 kg/ms^2
0.8999999999999999,Pressure Outlet,9.129090125673672 kg/m^3,792897.4 kg/ms^2,N/A,N/A,N/A,N/A,N/A
0.9999999999999999,Pressurant Tank,38.429354297529436 kg/m^3,3270403.2412892617 kg/ms^2,100 m/s,288.64577228957313 K,N/A,3.842935429752944 kg,N/A
0.9999999999999999,INTER1,38.43178585241347 kg/m^3,3270602.731844238 kg/ms^2,109.46649584362301 m/s,288.6452318969215 K,0.13323217376590205 kg/s,N/A,230262.3868391841 kg/ms^2
0.9999999999999999,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.9999999999999999,INTER2,25.13955020834098 kg/m^3,2143122.2224056344 kg/ms^2,167.34866534823647 m/s,288.65663786369146 K,0.13323462016685864 kg/s,N/A,352023.78939131997 kg/ms^2
0.9999999999999999,Chamber,24.465286352466553 kg/m^3,2143217.3748652283 kg/ms^2,N/A,296.20004290668396 K,N/A,2.4465286352466555 kg,N/A
0.9999999999999999,INTER3,24.695533644088897 kg/m^3,2117906.0158401276 kg/ms^2,105.40485760873342 m/s,290.2832851519011 K,0.08243589797885993 kg/s,N/A,137185.96147483177 kg/ms^2
0.9999999999999999,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.9999999999999999,INTER4,10.235154892549984 kg/m^3,849520.726809138 kg/ms^2,245.57035191813472 m/s,280.4734849597166 K,0.07959901323360624 kg/s,N/A,308614.47282252245 kg/ms^2
0.9999999999999999,Pressure Outlet,9.129090125673672 kg/m^3,792897.4 kg/ms^2,N/A,N/A,N/A,N/A,N/A
