Time,Converged Residual,Object,Density (kg/m^3),Pressure (kg/ms^2),Velocity (m/s),Temperature (K),Mass Flow Rate (kg/s),Mass (kg),Dynamic Pressure (kg/ms^2)
0.0,4.921923102138392e-12,Pressurant Tank,75.68362319224023,6550022.0,10.0,293.15,N/A,0.18228812120698,N/A
0.0,4.921923102138392e-12,INTER1,75.68362319224025,6550022.0,17.66208836082997,293.15,0.04233321964467335,N/A,11804.729107916357
0.0,4.921923102138392e-12,Tank,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,4.921923102138392e-12,INTER2,794.9485178617309,6552350.059555258,17.662088360850262,293.1500000000018,0.44465009461039157,N/A,123991.84278324891
0.0,4.921923102138392e-12,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,4.921923102138392e-12,INTER3,794.7562703309958,6320130.524260146,17.666360730990174,293.1500000000046,0.444650094613016,N/A,124021.83578570739
0.0,4.921923102138392e-12,cavitating_venturi,N/A,N/A,N/A,N/A,0.4446500946129174,N/A,N/A
0.0,4.921923102138392e-12,INTER4,794.7562703309998,3679655.7080397583,17.666360730987254,290.4991119628787,0.4446500946129448,N/A,124021.83578566699
0.0,4.921923102138392e-12,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,4.921923102138392e-12,INTER5,794.5607052278413,3447380.0000000326,17.670708949931807,290.4991119628688,0.4446500946209342,N/A,124052.36126533376
0.0,4.921923102138392e-12,Pressure Outlet,792.3379797429225,3447380.0,N/A,N/A,N/A,N/A,N/A
0.05,1.489508215679623e-12,Pressurant Tank,74.80481347526919,6434985.801069715,10,291.6373992347146,N/A,0.18017146022474634,N/A
0.05,1.489508215679623e-12,INTER1,74.80481347574023,6434985.801069715,17.507286002701903,291.63739923311795,0.04147493392889673,N/A,11464.027040289973
0.05,1.489508215679623e-12,Tank,N/A,N/A,N/A,N/A,N/A,N/A,N/A
