Time,Object,Density (kg/m^3),Pressure (kg/ms^2),Velocity (m/s),Temperature (K),Mass Flow Rate (kg/s),Mass (kg),Dynamic Pressure (kg/ms^2)
0.0,Pressurant Tank,171.84329370295308,13111517.943573486,100,262.1032805185804,N/A,0.2577649405544296,N/A
0.0,INTER1,171.8432937030043,13111517.943573486,11.39389673170303,262.1032805185219,0.06200721117673414,N/A,11154.424040110438
0.0,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,INTER2,91.00247112572215,6894760.0,21.515511812622155,262.10328051855635,0.0620072111765928,N/A,21063.30677279837
0.0,Pressure Outlet,79.64069285513682,6894760.0,N/A,N/A,N/A,N/A,N/A
