Time,Interface,Density (kg/m^3),Pressure (kg/ms^2),Velocity (m/s),Temperature (K),Mass Flow Rate (kg/s),Dynamic Pressure (kg/ms^2)
0.0,INTER1,224.93931011319938,20684280.0,13.410511386799591,293.14999999993637,0.0955318152368582,20226.746971524593
0.0,INTER2,79.64069285514731,6894760.0,37.87700817688038,293.14999999996655,0.0955318150745512,57128.96675100795
0.1,INTER1,215.7613877914376,19705423.84143194,13.366619973106415,293.1500000035801,0.0913340381653461,19274.669178987577
0.1,INTER2,79.64069285513513,6894760.0,36.21264923568505,293.1500000000054,0.09133403815811754,52218.64880288747
0.2,INTER1,207.01029970263988,18791217.652843054,13.33336269857343,293.15000000174604,0.08741158177218424,18400.996581308176
0.2,INTER2,79.64069285513521,6894760.0,34.65745097313842,293.1500000000051,0.08741158176641849,47829.76742241798
0.30000000000000004,INTER1,198.67101772867315,17936217.641278103,13.309088199676053,293.15000000046786,0.08373753101227162,17595.480340656144
0.30000000000000004,INTER2,79.6406928551355,6894760.0,33.2007420168688,293.15000000000424,0.08373753100776588,43893.540613533296
0.4,INTER1,190.72790897820036,17135536.693811093,13.292353409526498,293.1499999996609,0.08028852120902706,16849.53852332308
0.4,INTER2,79.64069285513581,6894760.0,31.833258604377235,293.15000000000316,0.0802885212055775,40352.20104589604
0.5,INTER1,183.16493841059795,16384776.355452646,13.281905679365094,293.1499999992174,0.07704422094263516,16155.973502074145
0.5,INTER2,79.64069285513611,6894760.0,30.5469396164051,293.15000000000225,0.07704422094004555,37156.98326048517
0.6,INTER1,175.9658571961668,15679968.53157338,13.27666447504932,293.14999999903137,0.07398688131968414,15508.734950371354
0.6,INTER2,79.64069285513635,6894760.0,29.334747868746085,293.1500000000015,0.07398688131777523,34266.500473487795
0.7,INTER1,169.11437286256304,15017525.39229433,13.275703186881563,293.14999999901204,0.07110094704114782,14902.721718742829
0.7,INTER2,79.64069285513648,6894760.0,28.190515906222423,293.1500000000011,0.07110094703976369,31645.435856473978
0.7999999999999999,INTER1,162.59429884730997,14394196.187601272,13.27823153670021,293.1499999990888,0.06837272401445878,14333.616892742955
0.7999999999999999,INTER2,79.64069285513662,6894760.0,27.108814215590293,293.1500000000006,0.06837272401347001,29263.48710694041
0.8999999999999999,INTER1,156.38968243688606,13807029.885150982,13.283578951827753,293.1499999992111,0.06579009766168768,13797.7510510648
0.8999999999999999,INTER2,79.64069285513669,6894760.0,26.08483953873134,293.15000000000043,0.06579009766099038,27094.514472626397
0.9999999999999999,INTER1,150.48491118651447,13253342.72008634,13.0223251623862,293.14999999695675,0.06206100777191536,12759.687298094985
0.9999999999999999,INTER2,79.64069285513682,6894760.0,24.60630834846904,293.15,0.062061007771143,24110.041499342362
1.0999999999999999,INTER1,144.9780562327372,12741182.39030767,12.753174642159355,293.15000001124514,0.05855418110571853,11789.86659521827
1.0999999999999999,INTER2,79.6406928551369,6894760.0,23.215901372642687,293.1499999999997,0.05855418111068712,21462.29372485744
1.2,INTER1,139.84195225399972,12266953.07243607,12.484552130427897,293.1500000103741,0.055290151169609204,10898.165952563837
1.2,INTER2,79.64069285513688,6894760.0,21.92175985003453,293.14999999999975,0.05529015117356162,19136.207237481183
1.3,INTER1,135.0478707715902,11827135.859045882,12.216407492750328,293.1500000088859,0.05224786924982691,10077.31344357774
1.3,INTER2,79.64069285513683,6894760.0,20.715538267221795,293.1499999999999,0.0522478692528232,17088.245657086925
1.4000000000000001,INTER1,130.56939035998892,11418605.807524022,11.872426052055626,293.1499999997652,0.049092842822570766,9202.171590350848
1.4000000000000001,INTER2,79.6406928551368,6894760.0,19.464615087294522,293.15000000000003,0.04909284282256227,15086.784048014548
1.5000000000000002,INTER1,126.40890300322654,11040994.131185347,11.193757575409935,293.15000000110547,0.0448116454858156,7919.530961206369
1.5000000000000002,INTER2,79.64069285513682,6894760.0,17.76718113399688,293.15,0.044811645485897944,12570.197285084188
1.6000000000000003,INTER1,122.652851231274,10701588.769424833,10.54183816184766,293.15000000084376,0.04094787086617769,6815.227255178103
1.6000000000000003,INTER2,79.64069285513682,6894760.0,16.235249360811522,293.15,0.04094787086623085,10495.979186913093
1.7000000000000004,INTER1,119.2562565543733,10395829.672264475,9.917055619827629,293.1500000006295,0.037454262823020036,5864.306692723
1.7000000000000004,INTER2,79.64069285513682,6894760.0,14.850083379038892,293.15,0.03745426282305347,8781.38095476203
1.8000000000000005,INTER1,116.17985214303536,10119804.862591794,9.319612238318584,293.15000000046155,0.03428988229951892,5045.410536245284
1.8000000000000005,INTER2,79.64069285513682,6894760.0,13.595451433959827,293.15,0.034289882299539436,7360.2454861715005
1.9000000000000006,INTER1,113.38928473690945,9870142.973439587,8.749527944074861,293.14999998885605,0.0314191166192501,4340.215215736029
1.9000000000000006,INTER2,79.6406928551368,6894760.0,12.457233607007128,293.15000000000003,0.031419116624193416,6179.427644691522
