Time,Tank DISTANCE (m),INTER2 MASS FLOW RATE (kg/s),Tank MASS (kg),Pressurant Tank PRESSURE (kg/ms^2),Tank PRESSURE (kg/ms^2),INTER3 MASS FLOW RATE (kg/s)
0.0,0.21007014181631162,0.8935396479330948,1.2,6894760.0,6550022.0,0.7000000000000001
0.01,0.2089419548779387,0.9707865233416259,1.193,6893581.91607351,6486668.953578786,0.6999999999999998
0.02,0.2078137679395658,1.040744033672104,1.1860000000000002,6892302.06739359,6424619.536633197,0.7000000000000001
0.03,0.2066855810011929,1.1022566345404299,1.1790000000000003,6890930.083174598,6363829.226408482,0.7000002812711785
0.04,0.20555739360949643,1.1026567427964777,1.1719999971872885,6889477.1224660035,6304253.9364474425,0.7000011096362568
0.05,0.2044292048827276,1.1144734162817669,1.164999986090926,6888024.024162782,6245802.91944231,0.7
0.060000000000000005,0.20330101794435468,1.1529486562969309,1.157999986090926,6886555.17273771,6188454.625361958,0.7000000000000001
0.07,0.20217283100598177,1.1882130589631439,1.1509999860909261,6885035.729061344,6132202.995090754,0.7
0.08,0.20104464406760886,1.22066664846081,1.1439999860909262,6883469.936066496,6077014.943879883,0.6999999999999998
0.09,0.19991645712923595,1.2506375261742897,1.1369999860909263,6881861.508598611,6022858.949200989,0.7000000000000004
0.09999999999999999,0.19878827019086304,1.2783988459831581,1.1299999860909264,6880213.728301052,5969704.916352377,0.7000000000000004
0.10999999999999999,0.19766008325249013,1.304180914629252,1.1229999860909265,6878529.516111381,5917524.066241218,0.7000000000000003
0.11999999999999998,0.19653189631411722,1.3281800345407482,1.1159999860909267,6876811.488798284,5866288.839705393,0.7000000000000001
0.12999999999999998,0.1954037093757443,1.3505651097323086,1.1089999860909268,6875062.003834369,5815972.814535899,0.7000000000000002
0.13999999999999999,0.1942755224373714,1.3714826740315924,1.1019999860909269,6873283.195555354,5766550.632504744,0.7000000000000002
0.15,0.19314733549899848,1.3910607825320453,1.094999986090927,6871477.00468627,5717997.934450636,0.7
0.16,0.19201914856062557,1.4094120677744892,1.087999986090927,6869645.20273394,5670291.301980312,0.7
0.17,0.19089096162225266,1.4266361715008704,1.0809999860909272,6867789.412347419,5623408.204693592,0.7
0.18000000000000002,0.18976277468387975,1.4428217023361047,1.0739999860909273,6865911.124469964,5577326.952088698,0.7
0.19000000000000003,0.18863458774550684,1.4580478285161353,1.0669999860909274,6864011.712907875,5532026.6494844435,0.7000000000000001
0.20000000000000004,0.18750640080713393,1.4723855861153334,1.0599999860909275,6862092.446797583,5487487.15742886,0.7000000000000001
0.21000000000000005,0.18637821386876102,1.4858989619518606,1.0529999860909276,6860154.501346282,5443689.054163766,0.6999999999999986
0.22000000000000006,0.1852500269303881,1.4986458029344658,1.0459999860909277,6858198.967142223,5400613.600790325,0.6999999999999985
0.23000000000000007,0.1841218399920152,1.5106785708873278,1.0389999860909278,6856226.858269456,5358242.708844843,0.6999999999999988
0.24000000000000007,0.1829936530536423,1.5220449919631753,1.031999986090928,6854239.119418821,5316558.910027577,0.6999999999999988
0.25000000000000006,0.18186546611526938,1.5327886047446322,1.024999986090928,6852236.632146798,5275545.3278823495,0.6999999999999991
0.26000000000000006,0.18073727917689647,1.5429492309564563,1.0179999860909281,6850220.220409368,5235185.651240579,0.6999999999999994
