Time,Converged Residual,Interface,Density (kg/m^3),Pressure (kg/ms^2),Velocity (m/s),Temperature (K),Mass Flow Rate (kg/s),Dynamic Pressure (kg/ms^2)
0.0,2.958054432858454e-10,INTER1,1.588465156343376,135799.19296,18.707406600362024,288.15,0.00034788505252702064,277.95524169811114
0.0,2.958054432858454e-10,INTER2,1.5668436271247186,133951.45080619788,18.965557912234864,288.14999999999264,0.00034788505252031035,281.7908620872691
0.0,2.958054432858454e-10,INTER3,1.2133181314549895,103744.44033421695,24.49156802766002,288.17061917505515,0.00034788505259140956,363.89649604463193
0.0,2.958054432858454e-10,INTER4,1.1850185982465695,101325.39296,9.269862041855047,288.1706189343012,0.00034788505273440504,50.914526874799044
0.005,5.18575735524228e-15,INTER1,1.588447762090791,135797.10788685433,18.70671030812451,288.1487341887904,0.0003478682948756997,277.93150753763007
0.005,5.18575735524228e-15,INTER2,1.566827806514625,133949.5083711835,18.964835830378,288.14873418878307,0.0003478682948756999,281.76656000555096
0.005,5.18575735524228e-15,INTER3,1.2133208894058818,103744.2215992601,24.49033259418435,288.16936006721954,0.0003478682948757055,363.860611827807
0.005,5.18575735524228e-15,INTER4,1.1850237897685598,101325.39296,9.269374897536343,288.1693600672171,0.0003478682948757082,50.909398786264475
0.01,5.184545945564516e-15,INTER1,1.5884303686760477,135795.02292333366,18.70601402882043,288.14746843021766,0.0003478515379319421,277.9077751312772
0.01,5.184545945564516e-15,INTER2,1.5668119866454921,133947.56603598752,18.964113763179615,288.1474684302104,0.0003478515379319423,281.7422597428693
0.01,5.184545945564516e-15,INTER3,1.2133236479919884,103744.00289110704,24.489097207850055,288.16810088895903,0.00034785153793194783,363.824730887174
0.01,5.184545945564516e-15,INTER4,1.1850289826194722,101325.39296,9.26888777147112,288.1681008889566,0.0003478515379319506,50.904271189642316
0.015,5.068280616654051e-15,INTER1,1.5884129760991514,135792.93806943248,18.70531776316985,288.1462027242727,0.00034783478170911084,277.8840445003344
0.015,5.068280616654051e-15,INTER2,1.5667961675177768,133945.62380064308,18.96339171173002,288.14620272426544,0.0003478347817091111,281.71796133158324
0.015,5.068280616654051e-15,INTER3,1.2133264066089844,103743.78420203942,24.487861877263647,288.1668417620031,0.00034783478170911664,363.78885329700654
0.015,5.068280616654051e-15,INTER4,1.1850341753044509,101325.39296,9.268400670182688,288.16684176200056,0.00034783478170911935,50.89914409233075
0.02,5.19433068730667e-15,INTER1,1.5883955843600654,135790.85332514517,18.70462151117328,288.14493707095414,0.0003478180262071783,277.8603156446936
0.02,5.19433068730667e-15,INTER2,1.5667803491314463,133943.6816651451,18.962669676029602,288.14493707094675,0.00034781802620717847,281.69366477157564
0.02,5.19433068730667e-15,INTER3,1.2133291652568563,103743.56553205563,24.486626602423165,288.16558268635026,0.0003478180262071841,363.75297905701285
0.02,5.19433068730667e-15,INTER4,1.1850393678234958,101325.39296,9.267913593669784,288.16558268634776,0.00034781802620718677,50.8940174942825
0.025,5.1091322426754666e-15,INTER1,1.5883781934587549,135788.7686904662,18.70392527283134,288.14367147026024,0.0003478012714261197,277.8365885642507
0.025,5.1091322426754666e-15,INTER2,1.566764531486469,133941.73962948858,18.9619476560789,288.1436714702528,0.0003478012714261199,281.669370062734
