Time,Pressurant Tank None (kg),Pressurant Tank PRESSURE (kg/ms^2),Pressurant Tank DENSITY (kg/m^3),INTER1 TEMPERATURE (K),INTER2 TEMPERATURE (K)
0.0,0.4259426930752977,27579040.0,283.9617953835318,293.14999998660437,338.6719801285599
0.1,0.4134041522142813,26200946.60535883,275.6027681428542,290.7085175763014,334.4303537706555
0.2,0.40146216732245776,24913875.572217856,267.6414448816385,288.1772903385979,330.12681713691165
0.30000000000000004,0.3900754444553285,23710149.95827892,260.05029630355233,285.5715393102706,325.7717776160343
0.4,0.3792065648279035,22582897.059301257,252.80437655193566,282.9046239933827,321.3737883944276
0.5,0.3688215201117536,21525946.427200947,245.88101340783575,280.1882855983187,316.93973274508807
0.6,0.35888931607301977,20533743.168137413,239.25954404867983,277.4328538088796,312.47918857698915
0.7,0.3494634003448863,19609215.170137417,232.9756002299242,274.6719553418335,308.0367439280982
0.7999999999999999,0.34064778528554635,18759806.197078187,227.09852352369757,271.9581604520922,303.6784268753238
0.8999999999999999,0.33239420867017644,17978085.739847176,221.59613911345096,269.2994935160196,299.40794777676297
0.9999999999999999,0.3246592901381901,17257509.84814326,216.4395267587934,266.70223667383203,295.2294351384306
1.0999999999999999,0.317466600945388,16597996.670550408,211.64440063025864,264.19345299480113,291.1832262692032
1.2,0.31099434458253095,16013311.319787182,207.32956305502063,261.85730395682555,287.3927187976711
1.3,0.30516391948550614,15493787.465561261,203.4426129903374,259.68792836784223,283.8474690404935
1.4000000000000001,0.2999065562081155,15031212.158048889,199.93770413874367,257.6782022558621,280.53619652021126
1.5000000000000002,0.29516184572787213,14618572.142630676,196.7745638185814,255.8201983955621,277.44632213329953
1.6000000000000003,0.2908162444078137,14244691.976123508,193.87749627187577,254.08118149096845,274.52585138698606
1.7000000000000004,0.28681339195561956,13903749.63573594,191.20892797041304,252.447387723321,271.75314361823416
1.8000000000000005,0.2831243520308653,13592482.381446062,188.74956802057685,250.91424918697072,269.12175606921153
1.9000000000000006,0.2797229294163531,13308001.159886222,186.48195294423542,249.477079740832,266.62531015017805
2.0000000000000004,0.2765853639191236,13047740.894040992,184.39024261274906,248.1311513045378,264.25753618759273
2.1000000000000005,0.27368853682051464,12809293.007461105,182.45902454700976,246.8710848523631,262.01080280518966
2.2000000000000006,0.27095902434468744,12586244.84099469,180.63934956312497,245.66838370400782,259.8361641516007
2.3000000000000007,0.26838651152270454,12377477.701890979,178.92434101513635,244.52105910151516,257.73060254866897
2.400000000000001,0.2659613951684897,12181967.029035417,177.30759677899314,243.42711238980544,255.6911192789371
2.500000000000001,0.26367472595524083,11998773.166880827,175.78315063682723,242.384548392554,253.71473938746823
2.600000000000001,0.26151815620078717,11827033.177202066,174.34543746719143,241.3913865691665,251.79851396820874
2.700000000000001,0.2594838926907799,11665953.557215225,172.98926179385327,240.44567026479663,249.9395200740613
2.800000000000001,0.2575646539595765,11514803.751118332,171.70976930638435,239.54547432084485,248.13492738981705
2.9000000000000012,0.2557811221977697,11375058.58023299,170.5207481318465,238.70196075605017,246.40879706288692
3.0000000000000013,0.2541411345926583,11247171.610503403,169.4274230617722,237.9203741211791,244.7750105042774
3.1000000000000014,0.25263283730129843,11130072.060002744,168.42189153419895,237.19647978616783,243.2285097791031
3.2000000000000015,0.25124540316085353,11022795.381022187,167.49693544056902,236.5262831343662,241.76452602416947
3.3000000000000016,0.24996893514678575,10924471.351243867,166.64595676452385,235.90602443523673,240.3785951966736
3.4000000000000017,0.24882653603782978,10836777.649984691,165.8843573585532,235.34791858702053,239.1028760891658
3.5000000000000018,0.24781634811419628,10759471.813274844,165.21089874279753,234.85203701604365,237.94389615731347
3.600000000000002,0.2469229120581098,10691287.75875183,164.61527470540653,234.4116099227778,236.8921506950102
3.700000000000002,0.24613261120685215,10631121.313998088,164.08840747123477,234.02056718950865,235.93883226163376
3.800000000000002,0.24544579382729587,10578945.082629057,163.63052921819724,233.67961361460763,235.09117828757587
3.900000000000002,0.24486341927586705,10534784.737269342,163.2422795172447,233.3896931643333,234.3572581913954
4.000000000000002,0.24441121683519745,10500546.626148935,162.94081122346498,233.1640567154895,233.7770524248003
4.100000000000001,0.24412844732106068,10479159.742208345,162.75229821404045,233.02272950839784,233.40936884411607
4.200000000000001,0.24395158116999824,10465791.621645022,162.6343874466655,232.93424116022192,233.17740456227946
4.300000000000001,0.24384093738076362,10457432.29002366,162.56062492050907,232.87884894979265,233.0314943109099
4.4,0.24377171393824631,10452203.703006629,162.51447595883087,232.8441792419649,232.93988891110752
4.5,0.24372840208703456,10448932.805459468,162.48560139135637,232.8224815556434,232.88244734265817
4.6,0.2437013015788876,10446886.39274594,162.46753438592506,232.80890302601736,232.84645622046145
4.699999999999999,0.24368434419550614,10445605.989275448,162.45622946367075,232.80040580155597,232.82391629913255
4.799999999999999,0.24367373342431667,10444804.832399605,162.4491556162111,232.79508849045538,232.80980470778547
4.899999999999999,0.24366709386504626,10444303.530920915,162.44472924336418,232.7917611197721,232.80097155354946
4.999999999999998,0.24366293921756288,10443989.850721933,162.44195947837525,232.7896789955599,232.7954431064213
5.099999999999998,0.24366033947257212,10443793.569201386,162.44022631504808,232.78837609945072,232.79198325419995
5.1999999999999975,0.24365871269476116,10443670.747746516,162.43914179650744,232.78756081080064,232.7898180879803
5.299999999999997,0.24365769474427512,10443593.892948927,162.43846316285007,232.78705064377115,232.7884631721562
5.399999999999997,0.24365705776500698,10443545.801420204,162.43803851000465,232.78673140719496,232.78761531022047
