Time,Converged Residual,Object,Density (kg/m^3),Pressure (kg/ms^2),Velocity (m/s),Temperature (K),Mass Flow Rate (kg/s),Mass (kg),Dynamic Pressure (kg/ms^2)
0.0,1.1228566139198282,Pressure Inlet,70.67477441523894,5515808.0,20.0,268.15,N/A,N/A,N/A
0.0,1.1228566139198282,INTER1,70.67477441523894,5515808.0,20.0,268.15000000000003,0.016547748707177665,N/A,14134.954883047789
0.0,1.1228566139198282,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,1.1228566139198282,INTER2,1.1572237248244983,100663.496,20.0,293.14999999999793,0.0002709516592705373,N/A,231.44474496489966
0.0,1.1228566139198282,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,1.1228566139198282,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,1.1228566139198282,INTER1,70.67477441523894,5515808.0,20.0,268.15000000000003,0.016547748707177665,N/A,14134.954883047789
0.0,1.1228566139198282,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,1.1228566139198282,INTER2,1.1572237248244983,100663.496,20.0,293.14999999999793,0.0002709516592705373,N/A,231.44474496489966
0.0,1.1228566139198282,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,1.1228566139198282,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,1.1228566139198282,INTER1,70.67477441523894,5515808.0,20.0,268.15000000000003,0.016547748707177665,N/A,14134.954883047789
0.0,1.1228566139198282,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,1.1228566139198282,INTER2,1.1572237248244983,100663.496,20.0,293.14999999999793,0.0002709516592705373,N/A,231.44474496489966
0.0,1.1228566139198282,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,1.1228566143150076,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,1.1228566143150076,INTER1,70.67477546837515,5515808.0,20.0,268.1499966079261,0.016547748953758334,N/A,14134.95509367503
0.0,1.1228566143150076,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,1.1228566143150076,INTER2,1.1572237248244983,100663.496,20.0,293.14999999999793,0.0002709516592705373,N/A,231.44474496489966
0.0,1.1228566143150076,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,1.1228566141912386,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,1.1228566141912386,INTER1,70.67477441523894,5515808.0,20.000000298023224,268.15000000000003,0.016547748953758334,N/A,14134.955304302275
0.0,1.1228566141912386,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,1.1228566141912386,INTER2,1.1572237248244983,100663.496,20.0,293.14999999999793,0.0002709516592705373,N/A,231.44474496489966
0.0,1.1228566141912386,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,1.122856613996062,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,1.122856613996062,INTER1,70.67477441523894,5515808.082191944,20.0,268.15000342513827,0.016547748707177665,N/A,14134.954883047789
0.0,1.122856613996062,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
