Time,Component,Mass (kg),Pressure (kg/ms^2),Density (kg/m^3),Temperature (K)
2.700000000000001,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
2.800000000000001,Pressurant Tank,0.19270883781134657,8352402.949813628,128.47255854089772,293.15
2.800000000000001,critical_orifice,N/A,N/A,N/A,N/A
2.800000000000001,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
2.9000000000000012,Pressurant Tank,0.19095814646571,8235294.323693882,127.30543097713999,293.15
2.9000000000000012,critical_orifice,N/A,N/A,N/A,N/A
2.9000000000000012,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
3.0000000000000013,Pressurant Tank,0.1892926844618448,8124566.378621485,126.1951229745632,293.15
3.0000000000000013,critical_orifice,N/A,N/A,N/A,N/A
3.0000000000000013,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
3.1000000000000014,Pressurant Tank,0.18770790965566095,8019816.887047362,125.1386064371073,293.15
3.1000000000000014,critical_orifice,N/A,N/A,N/A,N/A
3.1000000000000014,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
3.2000000000000015,Pressurant Tank,0.18619955604857555,7920673.776971852,124.13303736571703,293.15
3.2000000000000015,critical_orifice,N/A,N/A,N/A,N/A
3.2000000000000015,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
3.3000000000000016,Pressurant Tank,0.18476361411199502,7826792.456144743,123.17574274133001,293.15
3.3000000000000016,critical_orifice,N/A,N/A,N/A,N/A
3.3000000000000016,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
3.4000000000000017,Pressurant Tank,0.18339631275210047,7737853.410130759,122.2642085014003,293.15
3.4000000000000017,critical_orifice,N/A,N/A,N/A,N/A
3.4000000000000017,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
3.5000000000000018,Pressurant Tank,0.18209410275824148,7653560.0427628355,121.39606850549431,293.15
3.5000000000000018,critical_orifice,N/A,N/A,N/A,N/A
3.5000000000000018,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
3.600000000000002,Pressurant Tank,0.18085590315545144,7573782.17809515,120.57060210363429,293.15
3.600000000000002,critical_orifice,N/A,N/A,N/A,N/A
3.600000000000002,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
3.700000000000002,Pressurant Tank,0.17970097515505787,7499696.61937408,119.80065010337191,293.15
3.700000000000002,critical_orifice,N/A,N/A,N/A,N/A
3.700000000000002,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
3.800000000000002,Pressurant Tank,0.17862343957489257,7430859.883621257,119.08229304992838,293.15
3.800000000000002,critical_orifice,N/A,N/A,N/A,N/A
3.800000000000002,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
3.900000000000002,Pressurant Tank,0.17761786691779002,7366867.666707842,118.41191127852667,293.15
3.900000000000002,critical_orifice,N/A,N/A,N/A,N/A
3.900000000000002,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
4.000000000000002,Pressurant Tank,0.1766792387623276,7307350.824291517,117.78615917488507,293.15
4.000000000000002,critical_orifice,N/A,N/A,N/A,N/A
4.000000000000002,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
4.100000000000001,Pressurant Tank,0.17580291296471653,7251971.830165577,117.20194197647768,293.15
4.100000000000001,critical_orifice,N/A,N/A,N/A,N/A
4.100000000000001,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
4.200000000000001,Pressurant Tank,0.17498725223951778,7200589.008463828,116.65816815967851,293.15
4.200000000000001,critical_orifice,N/A,N/A,N/A,N/A
4.200000000000001,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
4.300000000000001,Pressurant Tank,0.17424955150734212,7154252.450632521,116.1663676715614,293.15
4.300000000000001,critical_orifice,N/A,N/A,N/A,N/A
4.300000000000001,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
4.4,Pressurant Tank,0.17358218910572787,7112444.492129912,115.72145940381857,293.15
4.4,critical_orifice,N/A,N/A,N/A,N/A
4.4,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
4.5,Pressurant Tank,0.1729783188346077,7074704.492757992,115.3188792230718,293.15
4.5,critical_orifice,N/A,N/A,N/A,N/A
4.5,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
4.6,Pressurant Tank,0.17243178570585554,7040621.872350087,114.9545238039037,293.15
4.6,critical_orifice,N/A,N/A,N/A,N/A
4.6,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
4.699999999999999,Pressurant Tank,0.17193705177041305,7009830.111816706,114.62470118027537,293.15
4.699999999999999,critical_orifice,N/A,N/A,N/A,N/A
4.699999999999999,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
4.799999999999999,Pressurant Tank,0.17150155309851492,6982772.837295977,114.33436873234328,293.15
4.799999999999999,critical_orifice,N/A,N/A,N/A,N/A
4.799999999999999,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
4.899999999999999,Pressurant Tank,0.17112031438570793,6959123.396246229,114.08020959047195,293.15
4.899999999999999,critical_orifice,N/A,N/A,N/A,N/A
4.899999999999999,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
4.999999999999998,Pressurant Tank,0.17077594372924157,6937790.348680104,113.85062915282771,293.15
4.999999999999998,critical_orifice,N/A,N/A,N/A,N/A
4.999999999999998,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
5.099999999999998,Pressurant Tank,0.1705631282146257,6924621.262395138,113.70875214308379,293.15
5.099999999999998,critical_orifice,N/A,N/A,N/A,N/A
5.099999999999998,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
5.1999999999999975,Pressurant Tank,0.17041543362887376,6915488.275659003,113.61028908591584,293.15
5.1999999999999975,critical_orifice,N/A,N/A,N/A,N/A
5.1999999999999975,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
5.299999999999997,Pressurant Tank,0.17031290645530273,6909151.386765096,113.54193763686848,293.15
5.299999999999997,critical_orifice,N/A,N/A,N/A,N/A
5.299999999999997,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
5.399999999999997,Pressurant Tank,0.17024172089508796,6904753.11159841,113.49448059672531,293.15
5.399999999999997,critical_orifice,N/A,N/A,N/A,N/A
5.399999999999997,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
5.4999999999999964,Pressurant Tank,0.17019228990221782,6901699.681356655,113.46152660147855,293.15
5.4999999999999964,critical_orifice,N/A,N/A,N/A,N/A
5.4999999999999964,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
5.599999999999996,Pressurant Tank,0.17015796221024013,6899579.551025571,113.43864147349342,293.15
5.599999999999996,critical_orifice,N/A,N/A,N/A,N/A
5.599999999999996,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
5.699999999999996,Pressurant Tank,0.17013412166657202,6898107.289386109,113.42274777771468,293.15
5.699999999999996,critical_orifice,N/A,N/A,N/A,N/A
5.699999999999996,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
5.799999999999995,Pressurant Tank,0.1701175637398736,6897084.842666994,113.41170915991573,293.15
5.799999999999995,critical_orifice,N/A,N/A,N/A,N/A
5.799999999999995,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
5.899999999999995,Pressurant Tank,0.17010606345942636,6896374.742738812,113.40404230628424,293.15
5.899999999999995,critical_orifice,N/A,N/A,N/A,N/A
5.899999999999995,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
5.999999999999995,Pressurant Tank,0.17009807579685876,6895881.552705574,113.39871719790584,293.15
5.999999999999995,critical_orifice,N/A,N/A,N/A,N/A
5.999999999999995,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
6.099999999999994,Pressurant Tank,0.17009252778854514,6895539.005637745,113.39501852569676,293.15
6.099999999999994,critical_orifice,N/A,N/A,N/A,N/A
6.099999999999994,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
6.199999999999994,Pressurant Tank,0.17008867425855778,6895301.083992206,113.39244950570519,293.15
6.199999999999994,critical_orifice,N/A,N/A,N/A,N/A
6.199999999999994,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
6.299999999999994,Pressurant Tank,0.17008599765942833,6895135.829592879,113.39066510628555,293.15
6.299999999999994,critical_orifice,N/A,N/A,N/A,N/A
6.299999999999994,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
6.399999999999993,Pressurant Tank,0.17008413852852217,6895021.047051043,113.38942568568145,293.15
6.399999999999993,critical_orifice,N/A,N/A,N/A,N/A
6.399999999999993,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
6.499999999999993,Pressurant Tank,0.17008284719616884,6894941.3208190845,113.3885647974459,293.15
6.499999999999993,critical_orifice,N/A,N/A,N/A,N/A
6.499999999999993,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
