Time,Converged Residual,Component,Mass (kg),Pressure (kg/ms^2),Density (kg/m^3),Temperature (K)
0.7,2.3256562291849893e-12,Pressurant Tank,0.2799435823831439,15256912.88291487,186.62905492209592,274.2454471413984
0.7,2.3256562291849893e-12,critical_orifice,N/A,N/A,N/A,N/A
0.7,2.3256562291849893e-12,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
0.7999999999999999,3.1358181813085237e-12,Pressurant Tank,0.2727033953988818,14595523.171795871,181.8022635992545,271.12477979353446
0.7999999999999999,3.1358181813085237e-12,critical_orifice,N/A,N/A,N/A,N/A
0.7999999999999999,3.1358181813085237e-12,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
0.8999999999999999,8.167412226775767e-12,Pressurant Tank,0.2657069794970804,13967501.074274084,177.1379863313869,268.0043547892973
0.8999999999999999,8.167412226775767e-12,critical_orifice,N/A,N/A,N/A,N/A
0.8999999999999999,8.167412226775767e-12,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
0.9999999999999999,1.9672230184163682e-11,Pressurant Tank,0.2589803040067822,13374090.507042391,172.65353600452144,264.9049253232263
0.9999999999999999,1.9672230184163682e-11,critical_orifice,N/A,N/A,N/A,N/A
0.9999999999999999,1.9672230184163682e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
1.0999999999999999,3.538764763905875e-11,Pressurant Tank,0.25255365724631645,12816771.201396627,168.36910483087763,261.8508072187375
1.0999999999999999,3.538764763905875e-11,critical_orifice,N/A,N/A,N/A,N/A
1.0999999999999999,3.538764763905875e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
1.2,5.63841297906561e-11,Pressurant Tank,0.24646069050360947,12297161.852424234,164.3071270024063,258.8696023745969
1.2,5.63841297906561e-11,critical_orifice,N/A,N/A,N/A,N/A
1.2,5.63841297906561e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
1.3,8.651544422172214e-11,Pressurant Tank,0.24073683799916973,11816886.011425195,160.4912253327798,255.9914623226536
1.3,8.651544422172214e-11,critical_orifice,N/A,N/A,N/A,N/A
1.3,8.651544422172214e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
1.4000000000000001,1.3542396502350986e-10,Pressurant Tank,0.2354170616909087,11377401.928123819,156.94470779393913,253.24780353088104
1.4000000000000001,1.3542396502350986e-10,critical_orifice,N/A,N/A,N/A,N/A
1.4000000000000001,1.3542396502350986e-10,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
1.5000000000000002,2.4928622588657354e-10,Pressurant Tank,0.23053167450217468,10979699.312032131,153.6877830014498,250.66876266686566
1.5000000000000002,2.4928622588657354e-10,critical_orifice,N/A,N/A,N/A,N/A
1.5000000000000002,2.4928622588657354e-10,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
1.6000000000000003,3.261800343689787e-10,Pressurant Tank,0.22608867781582948,10622950.80646124,150.72578521055297,248.27298316881638
1.6000000000000003,3.261800343689787e-10,critical_orifice,N/A,N/A,N/A,N/A
1.6000000000000003,3.261800343689787e-10,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
1.7000000000000004,1.421160245964851e-10,Pressurant Tank,0.2220685807521127,10304245.129031844,148.04572050140845,246.06328127929163
1.7000000000000004,1.421160245964851e-10,critical_orifice,N/A,N/A,N/A,N/A
1.7000000000000004,1.421160245964851e-10,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
1.8000000000000005,6.845182877218547e-11,Pressurant Tank,0.21843333081411292,10019415.056661984,145.62222054274196,244.0302688565231
1.8000000000000005,6.845182877218547e-11,critical_orifice,N/A,N/A,N/A,N/A
1.8000000000000005,6.845182877218547e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
1.9000000000000006,1.3897319949032923e-10,Pressurant Tank,0.21513462240558756,9763737.72512029,143.42308160372502,242.1564243869321
1.9000000000000006,1.3897319949032923e-10,critical_orifice,N/A,N/A,N/A,N/A
1.9000000000000006,1.3897319949032923e-10,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
2.0000000000000004,9.691823381920286e-11,Pressurant Tank,0.21212153168039072,9532526.489228958,141.4143544535938,240.42036713843837
2.0000000000000004,9.691823381920286e-11,critical_orifice,N/A,N/A,N/A,N/A
2.0000000000000004,9.691823381920286e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
2.1000000000000005,6.814427206680191e-11,Pressurant Tank,0.20935063794600753,9321873.139514042,139.56709196400502,238.80299866811103
2.1000000000000005,6.814427206680191e-11,critical_orifice,N/A,N/A,N/A,N/A
2.1000000000000005,6.814427206680191e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
2.2000000000000006,4.773637435352253e-11,Pressurant Tank,0.20678684939659445,9128656.62081975,137.85789959772964,237.28851883090206
2.2000000000000006,4.773637435352253e-11,critical_orifice,N/A,N/A,N/A,N/A
2.2000000000000006,4.773637435352253e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
2.3000000000000007,3.267867056958324e-11,Pressurant Tank,0.20440151647857457,8950356.375916397,136.26767765238304,235.86375829919174
2.3000000000000007,3.267867056958324e-11,critical_orifice,N/A,N/A,N/A,N/A
2.3000000000000007,3.267867056958324e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
2.400000000000001,2.1151842968959485e-11,Pressurant Tank,0.20217103375937923,8784916.090983676,134.7806891729195,234.51766457173534
2.400000000000001,2.1151842968959485e-11,critical_orifice,N/A,N/A,N/A,N/A
2.400000000000001,2.1151842968959485e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
2.500000000000001,1.0518360972917753e-11,Pressurant Tank,0.2000757908361914,8630642.83246469,133.38386055746093,233.2409033847862
2.500000000000001,1.0518360972917753e-11,critical_orifice,N/A,N/A,N/A,N/A
2.500000000000001,1.0518360972917753e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
2.600000000000001,1.0644578239498683e-11,Pressurant Tank,0.1980995039926312,8486140.738344083,132.06633599508746,232.02562645036625
2.600000000000001,1.0644578239498683e-11,critical_orifice,N/A,N/A,N/A,N/A
2.600000000000001,1.0644578239498683e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
2.700000000000001,3.2405308288312345e-10,Pressurant Tank,0.1962296270759184,8350327.291457662,130.8197513839456,230.8658662841736
2.700000000000001,3.2405308288312345e-10,critical_orifice,N/A,N/A,N/A,N/A
2.700000000000001,3.2405308288312345e-10,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
2.800000000000001,2.4725294619944786e-10,Pressurant Tank,0.19445708048337979,8222401.281436284,129.63805365558653,229.75749763812513
2.800000000000001,2.4725294619944786e-10,critical_orifice,N/A,N/A,N/A,N/A
2.800000000000001,2.4725294619944786e-10,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
2.9000000000000012,3.195295232803835e-11,Pressurant Tank,0.19277551748627064,8101780.034823417,128.51701165751376,228.69788268587672
2.9000000000000012,3.195295232803835e-11,critical_orifice,N/A,N/A,N/A,N/A
2.9000000000000012,3.195295232803835e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
3.0000000000000013,5.30516728524223e-12,Pressurant Tank,0.19118074036864038,7988050.409706139,127.45382691242692,227.68557891312255
3.0000000000000013,5.30516728524223e-12,critical_orifice,N/A,N/A,N/A,N/A
3.0000000000000013,5.30516728524223e-12,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
3.1000000000000014,1.9228057464282174e-11,Pressurant Tank,0.1896702151816988,7880929.061047334,126.44681012113253,226.72008591630237
3.1000000000000014,1.9228057464282174e-11,critical_orifice,N/A,N/A,N/A,N/A
3.1000000000000014,1.9228057464282174e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
3.2000000000000015,3.408526978527877e-11,Pressurant Tank,0.18824264869565183,7780228.839046883,125.49509913043455,225.80161355675662
